iter	Passed	Remaining
489	19088	19867
490	19120	19821
491	19156	19779
492	19190	19735
493	19221	19688
494	19258	19647
495	19292	19604
496	19327	19560
497	19359	19515
498	19389	19467
499	19422	19422
500	19453	19375
501	19484	19329
502	19517	19284
503	19551	19241
504	19584	19196
505	19616	19151
506	19646	19103
507	19683	19063
508	19722	19025
509	19757	18983
510	19793	18941
511	19827	18898
512	19860	18853
513	19894	18810
514	19928	18768
515	19961	18723
516	19994	18679
517	20031	18639
518	20069	18600
519	20103	18557
520	20138	18515
521	20173	18473
522	20208	18430
523	20241	18386
524	20272	18341
525	20304	18297
526	20340	18256
527	20376	18215
528	20413	18174
529	20447	18132
530	20484	18092
531	20517	18049
532	20557	18011
533	20592	17969
534	20627	17928
535	20663	17887
536	20698	17846
537	20734	17805
538	20768	17763
539	20805	17723
540	20842	17683
541	20879	17643
542	20911	17599
543	20949	17560
544	20985	17520
545	21019	17478
546	21056	17438
547	21092	17397
548	21125	17354
549	21163	17315
550	21201	17276
551	21233	17233
552	21267	17191
553	21303	17150
554	21340	17110
555	21395	17085
556	21435	17047
557	21474	17010
558	21508	16968
559	21546	16929
560	21584	16890
561	21621	16851
562	21655	16808
563	21691	16768
564	21734	16733
565	21771	16694
566	21809	16655
567	21849	16618
568	21883	16575
569	21925	16540
570	21967	16504
571	22005	16465
572	22050	16431
573	22092	16395
574	22137	16362
575	22182	16328
576	22222	16291
577	22264	16255
578	22307	16220
579	22351	16185
580	22385	16144
581	22428	16108
582	22465	16069
583	22502	16029
584	22539	15989
585	22575	15949
586	22608	15907
587	22643	15865
588	22682	15827
589	22723	15791
590	22765	15754
591	22806	15718
592	22846	15680
593	22888	15644
594	22926	15605
595	22962	15565
596	22994	15522
597	23031	15482
598	23070	15444
599	23110	15407
600	23150	15369
601	23187	15329
602	23220	15287
603	23256	15247
604	23294	15208
605	23332	15169
606	23367	15129
607	23406	15091
608	23449	15055
609	23487	15016
610	23528	14979
611	23567	14941
612	23604	14901
613	23648	14866
614	23683	14826
615	23716	14784
616	23755	14745
617	23796	14709
618	23835	14671
619	23870	14630
620	23907	14590
621	23945	14551
622	23984	14513
623	24023	14475
624	24060	14436
625	24098	14397
626	24136	14358
627	24174	14320
628	24213	14281
629	24251	14242
630	24288	14203
631	24324	14163
632	24359	14123
633	24394	14082
634	24432	14043
635	24471	14005
636	24509	13967
637	24550	13929
638	24587	13890
639	24623	13850
640	24657	13809
641	24694	13770
642	24730	13730
643	24766	13690
644	24807	13653
645	24845	13615
646	24881	13575
647	24917	13535
648	24953	13495
649	24989	13455
650	25022	13414
651	25051	13371
652	25084	13329
653	25120	13290
654	25158	13251
655	25196	13213
656	25233	13173
657	25271	13135
658	25306	13094
659	25340	13054
660	25370	13011
661	25406	12971
662	25444	12933
663	25480	12893
664	25518	12855
665	25558	12817
666	25593	12777
667	25626	12736
668	25665	12698
669	25700	12658
670	25737	12619
671	25774	12580
672	25810	12540
673	25848	12502
674	25885	12463
675	25920	12423
676	25956	12383
677	25994	12345
678	26027	12304
679	26062	12264
680	26099	12225
681	26136	12186
682	26170	12146
683	26206	12106
684	26240	12066
685	26279	12028
686	26314	11988
687	26346	11947
688	26383	11908
689	26420	11870
690	26458	11831
691	26498	11794
692	26537	11755
693	26573	11716
694	26609	11677
695	26645	11638
696	26681	11599
697	26717	11559
698	26753	11520
699	26791	11482
700	26827	11442
701	26866	11404
702	26904	11366
703	26937	11326
704	26970	11285
705	27006	11246
706	27040	11206
707	27075	11166
708	27111	11127
709	27150	11089
710	27188	11051
711	27223	11011
712	27260	10972
713	27297	10934
714	27330	10893
715	27362	10853
716	27401	10815
717	27435	10775
718	27470	10736
719	27518	10701
720	27578	10671
721	27610	10631
722	27646	10591
723	27686	10554
724	27730	10518
725	27765	10479
726	27806	10441
727	27840	10401
728	27876	10362
729	27913	10324
730	27950	10285
731	27991	10248
732	28031	10210
733	28067	10171
734	28104	10132
735	28145	10095
736	28194	10061
737	28243	10026
738	28293	9992
739	28334	9955
740	28378	9918
741	28426	9884
742	28464	9845
743	28507	9808
744	28549	9772
745	28591	9734
746	28633	9697
747	28670	9659
748	28705	9619
749	28741	9580
750	28779	9541
751	28816	9503
752	28852	9464
753	28889	9425
754	28928	9387
755	28968	9349
756	29007	9311
757	29045	9273
758	29083	9234
759	29120	9195
760	29160	9158
761	29199	9119
762	29236	9081
763	29278	9044
764	29316	9005
765	29355	8967
766	29394	8929
767	29430	8890
768	29465	8851
769	29503	8812
770	29535	8772
771	29574	8734
772	29611	8695
773	29649	8657
774	29690	8619
775	29730	8582
776	29764	8542
777	29806	8505
778	29843	8466
779	29880	8427
780	29914	8388
781	29951	8349
782	29986	8310
783	30024	8271
784	30058	8232
785	30093	8193
786	30130	8154
787	30170	8116
788	30208	8078
789	30245	8039
790	30281	8001
791	30312	7960
792	30348	7921
793	30386	7883
794	30424	7845
795	30464	7807
796	30500	7768
797	30536	7729
798	30569	7690
799	30605	7651
800	30643	7613
801	30686	7575
802	30723	7537
803	30760	7498
804	30797	7460
805	30834	7421
806	30870	7382
807	30908	7344
808	30944	7305
809	30981	7267
810	31020	7229
811	31057	7190
812	31095	7152
813	31132	7113
814	31169	7075
815	31208	7037
816	31243	6998
817	31276	6958
818	31310	6919
819	31350	6881
820	31387	6843
821	31422	6804
822	31461	6766
823	31497	6727
824	31535	6689
825	31571	6650
826	31609	6612
827	31643	6573
828	31678	6534
829	31716	6496
830	31754	6457
831	31790	6419
832	31830	6381
833	31870	6343
834	31903	6304
835	31937	6265
836	31974	6226
837	32014	6188
838	32052	6150
839	32093	6113
840	32132	6074
841	32169	6036
842	32205	5997
843	32240	5959
844	32276	5920
845	32311	5881
846	32348	5843
847	32383	5804
848	32423	5766
849	32458	5727
850	32495	5689
851	32531	5650
852	32566	5612
853	32599	5573
854	32636	5534
855	32674	5496
856	32711	5458
857	32749	5420
858	32793	5382
859	32831	5344
860	32866	5306
861	32903	5267
862	32932	5228
863	32969	5189
864	33006	5151
865	33043	5112
866	33081	5074
867	33117	5036
868	33154	4997
869	33191	4959
870	33223	4920
871	33259	4882
872	33294	4843
873	33332	4805
874	33370	4767
875	33407	4728
876	33439	4689
877	33475	4651
878	33514	4613
879	33552	4575
880	33592	4537
881	33634	4499
882	33677	4462
883	33721	4424
884	33766	4387
885	33811	4350
886	33853	4312
887	33896	4275
888	33935	4237
889	33970	4198
890	34005	4159
891	34039	4121
892	34073	4082
893	34128	4046
894	34195	4011
895	34243	3974
896	34279	3936
897	34317	3898
898	34355	3859
899	34393	3821
900	34425	3782
901	34464	3744
902	34511	3707
903	34550	3669
904	34589	3630
905	34623	3592
906	34657	3553
907	34701	3516
908	34749	3478
909	34795	3441
910	34844	3404
911	34891	3366
912	34935	3329
913	34978	3291
914	35019	3253
915	35066	3215
916	35106	3177
917	35145	3139
918	35183	3101
919	35220	3062
920	35257	3024
921	35296	2986
922	35337	2947
923	35376	2909
924	35419	2871
925	35453	2833
926	35485	2794
927	35522	2756
928	35560	2717
929	35600	2679
930	35636	2641
931	35676	2602
932	35712	2564
933	35746	2526
934	35780	2487
935	35811	2448
936	35845	2410
937	35877	2371
938	35909	2332
939	35940	2294
940	35974	2255
941	36008	2217
942	36043	2178
943	36079	2140
944	36115	2101
945	36149	2063
946	36181	2024
947	36211	1986
948	36247	1947
949	36276	1909
950	36310	1870
951	36347	1832
952	36381	1794
953	36412	1755
954	36443	1717
955	36474	1678
956	36508	1640
957	36548	1602
958	36587	1564
959	36624	1526
960	36661	1487
961	36698	1449
962	36734	1411
963	36767	1373
964	36801	1334
965	36834	1296
966	36870	1258
967	36905	1220
968	36938	1181
969	36973	1143
970	37009	1105
971	37044	1067
972	37079	1028
973	37109	990
974	37142	952
975	37178	914
976	37213	876
977	37248	837
978	37285	799
979	37317	761
980	37353	723
981	37389	685
982	37423	647
983	37457	609
984	37494	570
985	37527	532
986	37565	494
987	37601	456
988	37638	418
989	37673	380
990	37709	342
991	37746	304
992	37778	266
993	37809	228
994	37846	190
995	37882	152
996	37914	114
997	37949	76
998	37983	38
999	38018	0
