iter	Logloss
237	0.5463326376
238	0.5462189302
239	0.5461520076
240	0.5460629472
241	0.545968274
242	0.5458089471
243	0.5456582987
244	0.5454755874
245	0.5453790873
246	0.5452737378
247	0.545075832
248	0.5449762411
249	0.5449121139
250	0.5448567436
251	0.544706438
252	0.5445283975
253	0.5444074471
254	0.5442909525
255	0.5441471545
256	0.5440665566
257	0.5438751268
258	0.5437414029
259	0.54363712
260	0.5435364469
261	0.5433717347
262	0.5432420494
263	0.5430552255
264	0.5428774864
265	0.5427491591
266	0.5426479382
267	0.5424721441
268	0.5423913723
269	0.5422805921
270	0.5421184298
271	0.5419149524
272	0.5417487039
273	0.5416213035
274	0.5415426197
275	0.5413721171
276	0.541217859
277	0.5410459839
278	0.5409686612
279	0.5408853266
280	0.5407437223
281	0.5406559793
282	0.540602185
283	0.5404673226
284	0.5402460814
285	0.5400871175
286	0.5399693449
287	0.5398042895
288	0.5396157325
289	0.5394004193
290	0.5392411377
291	0.5391031994
292	0.5389222145
293	0.5388268257
294	0.5386917863
295	0.5385059397
296	0.5383786331
297	0.538214527
298	0.5381097664
299	0.5379540833
300	0.5378944737
301	0.5377716341
302	0.5376177106
303	0.5374829636
304	0.5373601308
305	0.5371601101
306	0.5369965994
307	0.5368313783
308	0.5367079031
309	0.5365140789
310	0.5364348117
311	0.5363114415
312	0.5362016851
313	0.5361082851
314	0.5359403439
315	0.5358031819
316	0.5357087046
317	0.5355437454
318	0.535433666
319	0.5352203471
320	0.5350785655
321	0.5349741523
322	0.5348180726
323	0.534628287
324	0.5344636509
325	0.5343673858
326	0.5342135011
327	0.534132841
328	0.5340082502
329	0.5339499031
330	0.5337822765
331	0.5336760918
332	0.5335559164
333	0.5333683567
334	0.5331992835
335	0.5330939809
336	0.5329648363
337	0.532864761
338	0.5327004779
339	0.5325240905
340	0.532426802
341	0.532265774
342	0.5320761185
343	0.5319484528
344	0.5317578538
345	0.5316459115
346	0.5315617255
347	0.5313620749
348	0.5311375845
349	0.5311025236
350	0.5310035409
351	0.5308382128
352	0.5306943293
353	0.5305486777
354	0.5304042342
355	0.5302046449
356	0.5300666903
357	0.5299208944
358	0.5297789284
359	0.5296903934
360	0.529527644
361	0.5294118049
362	0.5292595747
363	0.5291182446
364	0.5289705109
365	0.5288330087
366	0.5286630631
367	0.5285075028
368	0.528294729
369	0.5281132938
370	0.5279589863
371	0.5278566726
372	0.5277319572
373	0.5275536264
374	0.5274029581
375	0.5272993675
376	0.5271383118
377	0.5269684053
378	0.5268120145
379	0.52667018
380	0.5264897695
381	0.5263537743
382	0.5261800945
383	0.5259501435
384	0.5259383668
385	0.5257861645
386	0.5256337019
387	0.5254757121
388	0.5253342092
389	0.5251711758
390	0.5251609652
391	0.5250032771
392	0.524873849
393	0.5247033117
394	0.5245022578
395	0.5243924481
396	0.5242791399
397	0.5241276153
398	0.5239067859
399	0.5237376266
400	0.523552499
401	0.5233930212
402	0.5232304233
403	0.5230439158
404	0.5228619011
405	0.522737756
406	0.5225797622
407	0.5224494158
408	0.5222975043
409	0.5221599996
410	0.522061214
411	0.5219416525
412	0.5217710988
413	0.5216571111
414	0.5214910519
415	0.5213354528
416	0.5211278107
417	0.5210050311
418	0.5208675032
419	0.5206448582
420	0.5205504726
421	0.5204616851
422	0.5202995897
423	0.5201028866
424	0.5199855214
425	0.5197931548
426	0.519730699
427	0.5196143893
428	0.5195027437
429	0.5193132334
430	0.5191310463
431	0.5189913682
432	0.5188794674
433	0.5187722845
434	0.5186165036
435	0.5185860623
436	0.5184215486
437	0.5182667078
438	0.5180965084
439	0.5179709472
440	0.5178576322
441	0.5177269449
442	0.5177171766
443	0.517599884
444	0.5174559879
445	0.5173138866
446	0.5171891753
447	0.5170480111
448	0.5168595234
449	0.5166581696
450	0.516485467
451	0.5163619131
452	0.516182639
453	0.5160303248
454	0.5159426909
455	0.5157785798
456	0.5156801619
457	0.5156001196
458	0.5154375097
459	0.5152587408
460	0.5151696622
461	0.5150397093
462	0.5148940272
463	0.5148726139
464	0.5147529497
465	0.5145790869
466	0.5144127134
467	0.5143099148
468	0.5141291561
469	0.5140125539
470	0.5139643782
471	0.5138437385
472	0.5136742969
473	0.5135256439
474	0.5133813197
475	0.5131589675
476	0.5130588047
477	0.5129306687
478	0.512797214
479	0.5126449153
480	0.5125923466
481	0.5124223987
482	0.5122574731
483	0.5121387318
484	0.5119481583
485	0.5118399852
486	0.5117021781
487	0.5115330858
488	0.5113627106
489	0.5112483617
490	0.5111349383
491	0.5109207121
492	0.5107774618
493	0.5106922916
494	0.5104863989
495	0.51035728
496	0.5102035735
497	0.5101080875
498	0.51001602
499	0.5098742859
500	0.5098500334
501	0.509753774
502	0.5096150904
503	0.509546773
504	0.5093743303
505	0.5092129262
506	0.5091062482
507	0.5089462433
508	0.5087723479
509	0.5086348659
510	0.508465036
511	0.5083135543
512	0.5081814224
513	0.5081142457
514	0.5080192395
515	0.507823934
516	0.5076363991
517	0.5075515087
518	0.5074538443
519	0.5073371035
520	0.5071247565
521	0.5069975551
522	0.5068393509
523	0.5066912971
524	0.5065803234
525	0.5065213867
526	0.5063448705
527	0.5061771128
528	0.505968726
529	0.5058437411
530	0.5057183109
531	0.5055871305
532	0.5054640292
533	0.5053313679
534	0.5052128718
535	0.5051300769
536	0.504988424
537	0.5048398448
538	0.5046788205
539	0.5045446481
540	0.5044023434
541	0.5043680194
542	0.5041869231
543	0.5040405063
544	0.503939243
545	0.5039276864
546	0.5038298081
547	0.50374536
548	0.5035944389
549	0.5034649908
550	0.5033528823
551	0.5032472607
552	0.5030956717
553	0.5029380086
554	0.5027914113
555	0.5026174173
556	0.502498793
557	0.5023533029
558	0.5022187469
559	0.5020869128
560	0.5018919936
561	0.5018326987
562	0.5017738555
563	0.5016587849
564	0.5015200671
565	0.5014137771
566	0.5012780033
567	0.5012097164
568	0.5010171786
569	0.500873582
570	0.500701667
571	0.5005939306
572	0.5004328214
573	0.5002742729
574	0.5001218654
575	0.5000676482
576	0.5000008001
577	0.499813677
578	0.4996975196
579	0.4995438914
580	0.4994227254
581	0.4992962599
582	0.4992232938
583	0.4991027093
584	0.4989266101
585	0.4987924142
586	0.4986139839
587	0.498492637
588	0.498420132
589	0.4982938793
590	0.4981263947
591	0.4979751891
592	0.4978042668
593	0.497710142
594	0.4976126243
595	0.4975145805
596	0.497397822
597	0.4972693235
598	0.4970830606
599	0.4969410445
600	0.4968767329
601	0.4966396068
602	0.496527875
603	0.4964022085
604	0.4962912275
605	0.4961855931
606	0.4960660764
607	0.4960151975
608	0.4958346957
609	0.4956967389
610	0.4955663137
611	0.4954379063
612	0.4952970527
613	0.4951235758
614	0.4950362011
615	0.4949601461
616	0.4947942697
617	0.4946187331
618	0.4944789215
619	0.4943280241
620	0.4941360167
621	0.493981071
622	0.4938712775
623	0.4937226601
624	0.493551298
625	0.4934220936
626	0.4932924157
627	0.4932023971
628	0.4930598947
629	0.4929153964
630	0.4928028873
631	0.4927163588
632	0.4925814076
633	0.492456374
634	0.4923436397
635	0.4921929571
636	0.4919638188
637	0.4918376277
638	0.4917668261
639	0.4916210569
640	0.4915137114
641	0.4913988365
642	0.491217877
643	0.4910780415
644	0.4909410918
645	0.4908942234
646	0.4908304269
647	0.4906834517
648	0.4904949794
649	0.4903776762
650	0.490249599
651	0.4901365941
652	0.4900602205
653	0.48995854
654	0.48987218
655	0.4897451809
656	0.4897112268
657	0.4896499763
658	0.4895499579
659	0.4894212431
660	0.489350258
661	0.4893373096
662	0.4892488273
663	0.4891623984
664	0.4890646323
665	0.4889019525
666	0.4887040948
667	0.4885741608
668	0.4884297208
669	0.4883018983
670	0.4882322666
671	0.488114412
672	0.4880268853
673	0.4879443755
674	0.4878066192
675	0.4877360004
676	0.487609601
677	0.4874854589
678	0.4873615049
679	0.4872641378
680	0.4871398061
681	0.4870286299
682	0.4868998704
683	0.4867690499
684	0.486581139
685	0.4864544354
686	0.4863271982
687	0.4861713039
688	0.4860135746
689	0.485890426
690	0.4857586086
691	0.4855956792
692	0.4854394552
693	0.4853709003
694	0.4852664932
695	0.485154757
696	0.4850299223
697	0.4849012877
698	0.4848575763
699	0.4847434153
700	0.4846403965
701	0.4845357504
702	0.4844330275
703	0.4843356192
704	0.4842245127
705	0.4841313286
706	0.4840352899
707	0.4839998601
708	0.4839155621
709	0.4837824227
710	0.4836342707
711	0.4834921294
712	0.4834008319
713	0.4832946452
714	0.483155923
715	0.4831103869
716	0.4829788726
717	0.482895405
718	0.4827659674
719	0.48276206
720	0.4826598728
721	0.4825108087
722	0.4823508687
723	0.4822390361
724	0.4821625027
725	0.4820187127
726	0.4818592909
727	0.4816950746
728	0.4816007942
729	0.48149719
730	0.4814054172
731	0.4812722677
732	0.4811656691
733	0.4810506841
734	0.4809165619
735	0.4808412787
736	0.4807037443
737	0.4805808337
738	0.4805009589
739	0.480379497
740	0.480235102
741	0.4800489459
742	0.4799721194
743	0.479921725
744	0.4797884681
745	0.4797858859
746	0.4796470571
747	0.4794782516
748	0.4794755774
749	0.4793738718
750	0.4792511749
751	0.4791616531
752	0.4789919524
753	0.4788920695
754	0.4788292433
755	0.4787294862
756	0.4786417854
757	0.4785000134
758	0.4784251611
759	0.4783570011
760	0.4782450828
761	0.4780866296
762	0.477971903
763	0.4778379639
764	0.4777355032
765	0.4776573293
766	0.4774536661
767	0.477342597
768	0.4772207124
769	0.4770816446
770	0.4769744635
771	0.4768707612
772	0.4768074739
773	0.476713868
774	0.4765902505
775	0.4764877264
776	0.4764417401
777	0.4762922819
778	0.4761440791
779	0.4760541984
780	0.4759543687
781	0.475926487
782	0.4758265525
783	0.4757088425
784	0.4755954293
785	0.475564866
786	0.4754285676
787	0.4753180665
788	0.4751771099
789	0.4751305953
790	0.4750635076
791	0.4749017914
792	0.4747722004
793	0.4746947398
794	0.4745698951
795	0.4745029644
796	0.4743313631
797	0.4742571345
798	0.4741230271
799	0.4740308786
800	0.4739027354
801	0.4738097883
802	0.4737265906
803	0.4736362307
804	0.4736000744
805	0.4734754503
806	0.4733847944
807	0.4733086134
808	0.4732470678
809	0.4731833778
810	0.4730183003
811	0.472958547
812	0.4728432228
813	0.4727568546
814	0.472641593
815	0.472493564
816	0.4723172411
817	0.472287116
818	0.4721824667
819	0.4720686767
820	0.4719311289
821	0.471878566
822	0.4717617277
823	0.4717153902
824	0.4715469562
825	0.4714182501
826	0.4713156587
827	0.4711943621
828	0.4710645822
829	0.470905244
830	0.4707545727
831	0.4707077264
832	0.4706081114
833	0.470487972
834	0.4703759666
835	0.4702488914
836	0.47011275
837	0.470022639
838	0.4699289015
839	0.4698266707
840	0.4697149824
841	0.4695915548
842	0.4694539482
843	0.4693820507
844	0.4692895937
845	0.4691719739
846	0.4690911517
847	0.4690021093
848	0.4689814742
849	0.4689783881
850	0.4688139653
851	0.4687261542
852	0.4686709193
853	0.4685642241
854	0.4684579398
855	0.4683342472
856	0.4682297015
857	0.468088975
858	0.468019324
859	0.4679284323
860	0.4678005667
861	0.4676012786
862	0.4674857094
863	0.4673386602
864	0.4672244403
865	0.4671544144
866	0.4670924696
867	0.4670398248
868	0.4669470814
869	0.4668604994
870	0.4668164029
871	0.4667225232
872	0.4666144218
873	0.4664863563
874	0.4663499682
875	0.466208271
876	0.4660777171
877	0.4659689098
878	0.4658693404
879	0.4657341433
880	0.4656386352
881	0.4655653211
882	0.4654211668
883	0.4653396331
884	0.4652975481
885	0.4652085954
886	0.4651016261
887	0.4649961353
888	0.4649892818
889	0.4649152219
890	0.464787681
891	0.464648413
892	0.4645670449
893	0.4644526534
894	0.4643180346
895	0.4641817879
896	0.4640897155
897	0.4639789541
898	0.4638311218
899	0.4637266363
900	0.4637074953
901	0.4635355369
902	0.4634127584
903	0.4632900028
904	0.4632106325
905	0.4630962737
906	0.4629625102
907	0.4628813726
908	0.4627570608
909	0.4626699364
910	0.4625102156
911	0.4623760784
912	0.462306634
913	0.462150831
914	0.4620357677
915	0.4619124701
916	0.4617865634
917	0.4616620867
918	0.4615996377
919	0.4614893119
920	0.4613628238
921	0.4612766774
922	0.4611452763
923	0.4610627884
924	0.4609915485
925	0.4608756424
926	0.4608740829
927	0.4608022986
928	0.4606688365
929	0.460521261
930	0.4604860272
931	0.460388408
932	0.4603497427
933	0.4602554823
934	0.4601759659
935	0.4600895117
936	0.4599915951
937	0.4598540889
938	0.4597415532
939	0.4596471623
940	0.4594968578
941	0.4593924489
942	0.4592818592
943	0.4592594081
944	0.4591214983
945	0.4589336603
946	0.4588508084
947	0.4588143786
948	0.4587369905
949	0.4586458734
950	0.4585832713
951	0.4584794236
952	0.4583818906
953	0.458272218
954	0.4581532278
955	0.4580851085
956	0.4580064041
957	0.457957568
958	0.4578524063
959	0.4578137394
960	0.4576941169
961	0.457606226
962	0.4574996507
963	0.4574266429
964	0.4572601337
965	0.4571742608
966	0.4570477081
967	0.4569059923
968	0.4567966237
969	0.45669235
970	0.4565969947
971	0.45648919
972	0.4564481926
973	0.4563833508
974	0.4562832006
975	0.4561681812
976	0.4560954106
977	0.4559702446
978	0.4558381215
979	0.4557891037
980	0.4556805408
981	0.4555975463
982	0.4554912125
983	0.4553799105
984	0.4552963676
985	0.45522418
986	0.4551022742
987	0.4549367539
988	0.4548760014
989	0.454746716
990	0.4546425074
991	0.4545114427
992	0.4543488121
993	0.4542251682
994	0.4540557067
995	0.4539307398
996	0.4538406782
997	0.4537228387
998	0.4536180974
999	0.4535558657
